Sample	posterior	likelihood	prior	treeLikelihood.subclusterForRe_1	superspreaderFraction.t:subclusterForRe_1	relativeTransmissibility.t:subclusterForRe_1	totalR0.t:subclusterForRe_1	R0.t:subclusterForRe_1.1	R0.t:subclusterForRe_1.2	samplingProportion.t:subclusterForRe_1.1	samplingProportion.t:subclusterForRe_1.2	samplingProportion.t:subclusterForRe_1.3	samplingProportion.t:subclusterForRe_1.4	becomeUninfectiousRate.t:subclusterForRe_1.1	becomeUninfectiousRate.t:subclusterForRe_1.2	rateMatrix.t:subclusterForRe_1.1	rateMatrix.t:subclusterForRe_1.2	geo-frequencies.t:subclusterForRe_1.1	geo-frequencies.t:subclusterForRe_1.2	rho.t:subclusterForRe_1.1	rho.t:subclusterForRe_1.2	clockRate.c:subclusterForRe_1
0	-420611.7020566913	-417280.12479267764	-3331.577264013618	-417280.12479267764	0.1	0.1	0.1	0.052631578947368446	0.0473684210526316	0.1	0.05	0.1	0.05	0.1	0.1	0.0	0.0	0.5	0.5	0.0	0.0	1.0
1000	-66578.04456117222	-65495.15227932029	-1082.8922818519284	-65495.15227932029	0.24898616259464368	0.05306623804322679	0.38113963550498225	0.3285507997113823	0.05258883579359997	0.07370758603898693	0.034154664182088214	0.056494504535041325	0.022086407200030637	1.3217508330743137	1.3217508330743137	0.0	0.0	0.5	0.5	0.0	0.0	0.13073335971335615
2000	-45166.357497747806	-45766.73606274527	600.3785649974676	-45766.73606274527	0.7984335637644138	0.0383316450104917	3.43310039291915	3.4001969785421227	0.03290341437702752	0.04603011743348543	0.016836022989631643	0.025675643463392225	0.011947888351163538	5.636542693569697	5.636542693569697	0.0	0.0	0.5	0.5	0.0	0.0	0.033862094617444494
3000	-42272.336878515656	-43434.87844805129	1162.541569535636	-43434.87844805129	0.9674115266839646	0.05953808774518451	3.1182986455939727	3.1120570562687684	0.006241589325204325	0.061127557039213	0.009525634258143852	0.021649328433807295	0.011256371293408712	12.892611748329662	12.892611748329662	0.0	0.0	0.5	0.5	0.0	0.0	0.006950270896380197
4000	-42064.45547747333	-43353.25923279058	1288.8037553172467	-43353.25923279058	0.9833697750135972	0.08533915900722239	1.545224529616992	1.5429976594605082	0.002226870156483855	0.11302668445507537	0.015199364443850219	0.0294235382994254	0.018888875043979115	25.334984401242732	25.334984401242732	0.0	0.0	0.5735334159620582	0.4264665840379418	0.0	0.0	0.00349334805401808
5000	-42044.64380911662	-43341.4737306879	1296.8299215712852	-43504.48023668605	0.9990114047432603	0.14809023734983973	1.3877176818193528	1.3875143468906321	2.033349287208268E-4	0.0699942894663991	0.009094918202267295	0.02091149690117996	0.012438483811619109	36.773626251372235	36.773626251372235	0.0	0.0	0.5846540879073661	0.41534591209263394	0.0	0.0	0.00349334805401808
6000	-42042.666174535894	-43341.4737306879	1298.8075561520072	-43504.48023668605	0.9990619369028976	0.1691221169635681	1.3303376798572402	1.3301264608594492	2.1121899779101734E-4	0.08602551435549348	0.011415186037581192	0.019608060594881866	0.012831643884894061	36.56014487876751	36.56014487876751	0.0	0.0	0.6430272691016627	0.35697273089833725	0.0	0.0	0.00349334805401808
7000	-42043.81208640334	-43341.4737306879	1297.661644284564	-43504.48023668605	0.9865984442217529	0.22129010262000087	1.2965575405419076	1.2926718779794997	0.0038856625624080735	0.0894485664535662	0.012668924028090672	0.019715702178189118	0.012622532916764772	36.114161429867394	36.114161429867394	0.0	0.0	0.6919259621892236	0.30807403781077636	0.0	0.0	0.00349334805401808
8000	-42043.3516326463	-43341.4737306879	1298.122098041603	-43504.48023668605	0.9828408415173567	0.16679610488014027	1.4083897990120748	1.404300407260776	0.004089391751298759	0.10109150469182163	0.012853890369930579	0.023796510621279972	0.014274536634635791	30.226233135174784	30.226233135174784	0.0	0.0	0.6347627451508857	0.36523725484911435	0.0	0.0	0.00349334805401808
9000	-42043.25109872102	-43341.4737306879	1298.2226319668837	-43504.48023668605	0.9961211382849284	0.1743082512918625	1.5300067200949128	1.528968931849232	0.0010377882456806841	0.1386564256010056	0.012304352066679186	0.0399202292917513	0.024871465760096766	23.371164951578553	23.371164951578553	0.0	0.0	0.7211214155636192	0.2788785844363808	0.0	0.0	0.00349334805401808
